station,valid,lon,lat,tmpc,drct,sknt
GDJ,2011-02-01 00:25,-97.8169,32.4444,10.00,20.00,5.00
PVW,2011-02-01 00:25,-101.7173,34.1681,-1.10,40.00,22.00
JDD,2011-02-01 00:25,-95.4965,32.7422,13.00,null,null
SWW,2011-02-01 00:25,-100.4666,32.4674,8.00,30.00,17.00
AXH,2011-02-01 00:25,-95.4769,29.5061,18.00,120.00,8.00
TFP,2011-02-01 00:25,-97.2115,27.9130,19.80,120.00,10.00
PPA,2011-02-01 00:25,-100.9963,35.6130,-6.00,30.00,17.00
3T5,2011-02-01 00:25,-96.9500,29.9100,21.30,150.00,8.00
RKP,2011-02-01 00:26,-97.0464,28.0836,18.00,120.00,11.00
AFW,2011-02-01 00:26,-97.3179,32.9716,8.00,20.00,7.00
BPG,2011-02-01 00:26,-101.5216,32.2126,12.00,40.00,27.00
SNK,2011-02-01 00:26,-100.9505,32.6934,4.40,20.00,25.00
RYW,2011-02-01 00:26,-97.9659,30.4967,21.00,110.00,4.00
DYS,2011-02-01 00:26,-99.8550,32.4210,8.00,30.00,12.00
HHF,2011-02-01 00:27,-100.4040,35.8950,-4.60,20.00,21.00
PYX,2011-02-01 00:27,-100.7500,36.4140,-7.30,350.00,22.00
DHT,2011-02-01 00:27,-102.5473,36.0226,-7.00,30.00,17.00
BYY,2011-02-01 00:27,-95.8634,28.9733,19.00,110.00,9.00
MNZ,2011-02-01 00:28,-98.1486,31.6659,16.20,90.00,7.00
UVA,2011-02-01 00:28,-99.7436,29.2113,24.10,110.00,12.00
PEQ,2011-02-01 00:28,-103.5100,31.3800,19.00,10.00,4.00
GGG,2011-02-01 00:28,-94.7115,32.3840,16.00,120.00,7.00
PSN,2011-02-01 00:29,-95.7063,31.7797,17.60,80.00,7.00
PEZ,2011-02-01 00:29,-98.5200,28.9542,21.10,130.00,13.00
PSX,2011-02-01 00:30,-96.2500,28.7300,19.00,120.00,12.00
HQZ,2011-02-01 00:30,-96.5304,32.7470,12.00,20.00,3.00
JSO,2011-02-01 00:30,-95.2200,31.8700,16.00,90.00,5.00
DYS,2011-02-01 00:30,-99.8550,32.4210,8.00,30.00,14.00
FTW,2011-02-01 00:31,-97.3624,32.8198,8.00,30.00,15.00
CRP,2011-02-01 00:31,-97.5128,27.7731,21.00,140.00,14.00
HOU,2011-02-01 00:31,-95.2824,29.6375,17.00,100.00,7.00
LBB,2011-02-01 00:32,-101.8228,33.6636,-2.00,40.00,20.00
LBX,2011-02-01 00:33,-95.4621,29.1086,18.00,100.00,7.00
RKP,2011-02-01 00:34,-97.0464,28.0836,18.00,130.00,11.00
DYS,2011-02-01 00:34,-99.8550,32.4210,7.00,30.00,12.00
HYI,2011-02-01 00:35,-97.8630,29.8927,22.00,160.00,12.00
TPL,2011-02-01 00:35,-97.4078,31.1525,17.00,70.00,9.00
EDC,2011-02-01 00:35,-97.5621,30.3925,22.00,150.00,12.00
TYR,2011-02-01 00:35,-95.4024,32.3541,16.00,100.00,5.00
PWG,2011-02-01 00:35,-97.3165,31.4849,15.00,50.00,5.00
GUL,2011-02-01 00:35,-93.5383,27.3039,21.00,0.00,null
HQI,2011-02-01 00:35,-93.6708,27.9620,21.00,100.00,12.00
PRX,2011-02-01 00:35,-95.4507,33.6366,12.00,10.00,5.00
SPL,2011-02-01 00:35,-97.1572,26.0706,19.00,100.00,11.00
ILE,2011-02-01 00:35,-97.6865,31.0858,17.00,60.00,8.00
DHT,2011-02-01 00:35,-102.5473,36.0226,-7.00,30.00,18.00
EMK,2011-02-01 00:35,-94.3228,27.8186,21.00,120.00,18.00
VAF,2011-02-01 00:35,-94.6253,27.3536,21.00,140.00,15.00
BQX,2011-02-01 00:35,-95.7244,28.4936,16.00,90.00,6.00
VKY,2011-02-01 00:35,-88.4410,29.2480,16.00,null,null
BBF,2011-02-01 00:35,-96.0140,27.8330,21.00,140.00,16.00
MRF,2011-02-01 00:35,-104.0200,30.3700,14.00,260.00,7.00
CRH,2011-02-01 00:35,-93.3016,28.9086,16.00,100.00,16.00
RAS,2011-02-01 00:35,-97.0900,27.8100,18.00,0.00,null
MIU,2011-02-01 00:35,-96.7367,27.2917,21.00,140.00,15.00
OPM,2011-02-01 00:35,-96.9400,26.8328,21.00,110.00,10.00
BKS,2011-02-01 00:35,-98.1211,27.2067,22.50,120.00,10.00
MZG,2011-02-01 00:35,-96.1911,27.7269,21.00,null,null
FTN,2011-02-01 00:35,-100.0188,28.2086,null,160.00,6.00
OCH,2011-02-01 00:35,-94.7094,31.5778,16.00,80.00,4.00
SGR,2011-02-01 00:38,-95.6565,29.6223,19.00,130.00,11.00
HOU,2011-02-01 00:39,-95.2824,29.6375,17.00,100.00,8.00
BKD,2011-02-01 00:40,-98.8910,32.7190,8.00,10.00,7.00
RFI,2011-02-01 00:40,-94.8517,32.1417,15.40,100.00,5.00
GVT,2011-02-01 00:40,-96.0653,33.0678,12.00,null,null
MKN,2011-02-01 00:40,-98.6000,31.9200,9.00,20.00,8.00
CRP,2011-02-01 00:42,-97.5128,27.7731,21.00,140.00,14.00
ARM,2011-02-01 00:42,-96.1544,29.2543,20.80,120.00,6.00
OZA,2011-02-01 00:42,-101.2030,30.7353,19.40,220.00,4.00
COM,2011-02-01 00:43,-99.4036,31.8411,9.10,60.00,17.00
6R3,2011-02-01 00:43,-95.0080,30.3564,18.00,140.00,5.00
GLE,2011-02-01 00:43,-97.1969,33.6514,10.00,50.00,7.00
SGR,2011-02-01 00:43,-95.6565,29.6223,19.00,120.00,8.00
HRX,2011-02-01 00:44,-102.3264,34.8578,-5.00,30.00,22.00
F05,2011-02-01 00:44,-99.2837,34.2257,1.90,30.00,18.00
LBR,2011-02-01 00:44,-95.0636,33.5932,12.20,80.00,3.00
LBX,2011-02-01 00:44,-95.4621,29.1086,17.00,110.00,7.00
AXH,2011-02-01 00:45,-95.4769,29.5061,17.70,110.00,7.00
DZB,2011-02-01 00:45,-98.3588,30.5271,17.80,null,null
ECU,2011-02-01 00:45,-100.1739,29.9469,19.00,110.00,3.00
JDD,2011-02-01 00:45,-95.4965,32.7422,13.00,null,null
XBP,2011-02-01 00:45,-97.8284,33.1753,8.30,70.00,8.00
BPC,2011-02-01 00:45,-101.0301,35.8893,-5.00,10.00,19.00
RWV,2011-02-01 00:45,-96.7041,30.5155,20.00,130.00,7.00
GDJ,2011-02-01 00:45,-97.8169,32.4444,9.80,20.00,5.00
SWW,2011-02-01 00:45,-100.4666,32.4674,7.10,20.00,18.00
E38,2011-02-01 00:45,-103.6840,30.3840,15.60,260.00,4.00
