station,valid,lon,lat,tmpc
ELP,2017-12-07 00:15,-106.3758,31.8111,null
EMK,2017-12-07 00:15,-94.3228,27.8186,16.00
ETN,2017-12-07 00:15,-98.8098,32.4135,8.00
F00,2017-12-07 00:15,-96.1793,33.6131,8.72
F05,2017-12-07 00:15,-99.2837,34.2257,9.72
F17,2017-12-07 00:15,-94.1564,31.8316,6.11
F44,2017-12-07 00:15,-95.8284,32.1638,6.00
F46,2017-12-07 00:15,-96.4355,32.9306,9.11
FST,2017-12-07 00:15,-102.9167,30.9119,null
FTN,2017-12-07 00:15,-100.0188,28.2086,6.00
FTW,2017-12-07 00:15,-97.3624,32.8198,null
GDJ,2017-12-07 00:15,-97.8169,32.4444,10.11
GGG,2017-12-07 00:15,-94.7115,32.3840,null
GKY,2017-12-07 00:15,-97.0943,32.6639,null
GLE,2017-12-07 00:15,-97.1969,33.6514,9.00
GLS,2017-12-07 00:15,-94.8604,29.2653,null
GNC,2017-12-07 00:15,-102.6527,32.6753,0.00
GOP,2017-12-07 00:15,-97.7970,31.4213,5.00
GPM,2017-12-07 00:15,-97.0469,32.6988,11.00
GTU,2017-12-07 00:15,-97.6767,30.6808,null
GUL,2017-12-07 00:15,-93.5383,27.3039,16.00
GYB,2017-12-07 00:15,-96.9800,30.1700,4.22
GYI,2017-12-07 00:15,-96.6737,33.7141,10.00
HBV,2017-12-07 00:15,-98.7369,27.3496,6.00
HDO,2017-12-07 00:15,-99.1742,29.3594,null
HHF,2017-12-07 00:15,-100.4040,35.8950,5.22
HHV,2017-12-07 00:15,-94.6886,26.9392,18.00
HOU,2017-12-07 00:15,-95.2824,29.6375,null
HQI,2017-12-07 00:15,-93.6708,27.9620,15.00
HRL,2017-12-07 00:15,-97.6544,26.2285,null
HRX,2017-12-07 00:15,-102.3264,34.8578,1.61
HYI,2017-12-07 00:15,-97.8630,29.8927,null
IAH,2017-12-07 00:15,-95.3414,29.9844,null
IKG,2017-12-07 00:15,-98.0309,27.5509,7.78
ILE,2017-12-07 00:15,-97.6865,31.0858,null
INJ,2017-12-07 00:15,-97.0972,32.0836,8.39
INK,2017-12-07 00:15,-103.2000,31.7800,null
JAS,2017-12-07 00:15,-94.0349,30.8857,6.00
JCT,2017-12-07 00:15,-99.7664,30.5108,null
JDD,2017-12-07 00:15,-95.4965,32.7422,7.00
JSO,2017-12-07 00:15,-95.2200,31.8700,6.22
JWY,2017-12-07 00:15,-96.9125,32.4561,8.39
JXI,2017-12-07 00:15,-94.9500,32.7000,7.50
LBB,2017-12-07 00:15,-101.8228,33.6636,null
LBX,2017-12-07 00:15,-95.4621,29.1086,null
LFK,2017-12-07 00:15,-94.7500,31.2340,null
LHB,2017-12-07 00:15,-96.6200,30.8700,4.61
LNC,2017-12-07 00:15,-96.7190,32.5792,8.61
LRD,2017-12-07 00:15,-99.4615,27.5438,null
LUD,2017-12-07 00:15,-97.5805,33.2542,8.89
LVJ,2017-12-07 00:15,-95.2400,29.5200,null
LXY,2017-12-07 00:15,-96.5145,31.6412,5.11
MAF,2017-12-07 00:15,-102.2075,31.9466,null
MCJ,2017-12-07 00:15,-95.3950,29.7140,6.00
MDD,2017-12-07 00:15,-102.1010,32.0365,2.72
MNZ,2017-12-07 00:15,-98.1486,31.6659,7.50
MRF,2017-12-07 00:15,-104.0200,30.3700,null
MWL,2017-12-07 00:15,-98.0602,32.7816,null
MZG,2017-12-07 00:15,-96.1911,27.7269,12.00
OCH,2017-12-07 00:15,-94.7094,31.5778,null
ODO,2017-12-07 00:15,-102.3867,31.9206,null
OSA,2017-12-07 00:15,-94.9614,33.0956,7.50
OZA,2017-12-07 00:15,-101.2030,30.7353,3.00
PEZ,2017-12-07 00:15,-98.5200,28.9542,5.39
PIL,2017-12-07 00:15,-97.3378,26.1597,null
PKV,2017-12-07 00:15,-96.6810,28.6540,6.72
PPA,2017-12-07 00:15,-100.9963,35.6130,1.22
PRS,2017-12-07 00:15,-104.3615,29.6342,7.00
PRX,2017-12-07 00:15,-95.4507,33.6366,null
PSN,2017-12-07 00:15,-95.7063,31.7797,5.89
PSX,2017-12-07 00:15,-96.2500,28.7300,null
PVW,2017-12-07 00:15,-101.7173,34.1681,1.78
PWG,2017-12-07 00:15,-97.3165,31.4849,null
PYX,2017-12-07 00:15,-100.7500,36.4140,2.11
RBD,2017-12-07 00:15,-96.8700,32.6800,null
RBO,2017-12-07 00:15,-97.6905,27.7785,7.28
RFI,2017-12-07 00:15,-94.8517,32.1417,6.00
RKP,2017-12-07 00:15,-97.0464,28.0836,null
RPH,2017-12-07 00:15,-98.5550,33.1100,9.00
RWV,2017-12-07 00:15,-96.7041,30.5155,3.89
RYW,2017-12-07 00:15,-97.9659,30.4967,4.00
SAT,2017-12-07 00:15,-98.4698,29.5337,null
SEP,2017-12-07 00:15,-98.1777,32.2153,9.11
SGR,2017-12-07 00:15,-95.6565,29.6223,null
SJT,2017-12-07 00:15,-100.4950,31.3517,null
SLR,2017-12-07 00:15,-95.6200,33.1600,9.89
SNK,2017-12-07 00:15,-100.9505,32.6934,3.22
SOA,2017-12-07 00:15,-100.6486,30.5857,4.00
SPS,2017-12-07 00:15,-98.4928,33.9786,null
SSF,2017-12-07 00:15,-98.4711,29.3370,null
SWW,2017-12-07 00:15,-100.4666,32.4674,3.89
T20,2017-12-07 00:15,-97.4614,29.5280,5.11
T65,2017-12-07 00:15,-97.9731,26.1776,7.72
TKI,2017-12-07 00:15,-96.5900,33.1800,null
TME,2017-12-07 00:15,-95.8979,29.8050,5.00
TPL,2017-12-07 00:15,-97.4078,31.1525,null
TRL,2017-12-07 00:15,-96.2700,32.7100,null
TYR,2017-12-07 00:15,-95.4024,32.3541,null
UTS,2017-12-07 00:15,-95.5872,30.7469,null
UVA,2017-12-07 00:15,-99.7436,29.2113,5.50
VAF,2017-12-07 00:15,-94.6253,27.3536,17.00
VCT,2017-12-07 00:15,-96.9303,28.8614,null
VKY,2017-12-07 00:15,-88.4410,29.2480,14.00
XBP,2017-12-07 00:15,-97.8284,33.1753,10.22
CZT,2017-12-07 00:15,-99.8236,28.5222,6.00
ERV,2017-12-07 00:15,-99.0855,29.9767,3.61
LZZ,2017-12-07 00:15,-98.1959,31.1062,4.50
MKN,2017-12-07 00:15,-98.6000,31.9200,7.72
ORG,2017-12-07 00:15,-93.8036,30.0692,5.22
PEQ,2017-12-07 00:15,-103.5100,31.3800,3.11
T35,2017-12-07 00:15,-96.9711,30.8794,4.78
T82,2017-12-07 00:15,-98.9092,30.2432,3.00
NQI,2017-12-07 00:18,-97.8097,27.5072,7.78
INK,2017-12-07 00:19,-103.2000,31.7800,2.22
ABI,2017-12-07 00:20,-99.6821,32.4106,null
ACT,2017-12-07 00:20,-97.2283,31.6180,null
AFW,2017-12-07 00:20,-97.3179,32.9716,null
ALI,2017-12-07 00:20,-98.0269,27.7409,null
AMA,2017-12-07 00:20,-101.7059,35.2194,null
AUS,2017-12-07 00:20,-97.6699,30.1945,null
BAZ,2017-12-07 00:20,-98.0450,29.7090,null
BGD,2017-12-07 00:20,-101.3937,35.7009,null
BMQ,2017-12-07 00:20,-98.2386,30.7389,null
BPT,2017-12-07 00:20,-94.0200,29.9500,null
CDS,2017-12-07 00:20,-100.2881,34.4339,null
CLL,2017-12-07 00:20,-96.3639,30.5881,null
COT,2017-12-07 00:20,-99.2183,28.4567,null
CRS,2017-12-07 00:20,-96.4000,32.0300,null
CXO,2017-12-07 00:20,-95.4145,30.3524,null
DAL,2017-12-07 00:20,-96.8518,32.8471,null
DFW,2017-12-07 00:20,-97.0380,32.8968,null
DHT,2017-12-07 00:20,-102.5473,36.0226,null
DRT,2017-12-07 00:20,-100.9272,29.3742,null
DTO,2017-12-07 00:20,-97.1989,33.2061,null
DWH,2017-12-07 00:20,-95.5562,30.0680,null
ELP,2017-12-07 00:20,-106.3758,31.8111,null
FST,2017-12-07 00:20,-102.9167,30.9119,null
FTW,2017-12-07 00:20,-97.3624,32.8198,null
GGG,2017-12-07 00:20,-94.7115,32.3840,null
GKY,2017-12-07 00:20,-97.0943,32.6639,null
GLS,2017-12-07 00:20,-94.8604,29.2653,null
GTU,2017-12-07 00:20,-97.6767,30.6808,null
GZN,2017-12-07 00:20,-99.0237,32.3658,8.00
HDO,2017-12-07 00:20,-99.1742,29.3594,null
HOU,2017-12-07 00:20,-95.2824,29.6375,null
HRL,2017-12-07 00:20,-97.6544,26.2285,null
HYI,2017-12-07 00:20,-97.8630,29.8927,null
